minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
43,4,1,Australia,Mitchell Thomas Duke,Right Center Forward,104.9,40.6,117.2,39.4,Head,Normal,From Free Kick,True,False,False,False,False,0.040856346,Saved,2022,0,15.111915828246259,0.4749141375016801,0.6000000000000014
43,38,1,Australia,Fran Karačić,Right Back,106.4,54.9,109.0,51.9,Left Foot,Half Volley,Regular Play,False,True,False,False,False,0.035070673,Blocked,2022,0,20.173497465734588,0.24774688565064906,14.899999999999999
45,44,1,Australia,Fran Karačić,Right Back,87.2,52.2,120.0,18.8,Right Foot,Volley,From Corner,False,True,False,False,False,0.0052714557,Wayward,2022,0,34.9954282728473,0.19567962901385783,12.200000000000003
47,16,1,Tunisia,Youssef Msakni,Left Attacking Midfield,111.0,45.5,120.0,45.2,Right Foot,Normal,From Throw In,False,True,False,False,False,0.23484555,Off T,2022,0,10.547511554864494,0.5925431193919706,5.5
56,17,2,Australia,Mitchell Thomas Duke,Right Center Forward,107.3,39.8,115.1,1.2,Head,Normal,From Throw In,False,False,False,False,False,0.06400663,Wayward,2022,0,12.701574705523724,0.5610503277046659,0.20000000000000284
60,25,2,Tunisia,Ferjani Sassi,Right Center Midfield,91.2,52.7,120.0,47.8,Right Foot,Normal,From Throw In,False,False,False,False,False,0.020219443,Off T,2022,0,31.47586376892618,0.21244999492458227,12.700000000000003
65,18,2,Tunisia,Youssef Msakni,Left Wing,101.8,31.8,105.8,34.1,Right Foot,Normal,Regular Play,False,True,False,False,False,0.058604978,Blocked,2022,0,19.961963831246667,0.3330716524937526,8.2
71,22,2,Tunisia,Youssef Msakni,Left Wing,108.1,25.0,117.5,36.2,Left Foot,Normal,Regular Play,False,True,False,False,False,0.026706748,Saved,2022,0,19.147062437878038,0.24179033414457285,15.0
71,50,2,Tunisia,Youssef Msakni,Left Wing,95.6,42.2,116.7,41.3,Right Foot,Normal,Regular Play,False,False,False,False,False,0.048467197,Saved,2022,0,24.498979570586204,0.29546478817208083,2.200000000000003
73,15,2,Australia,Aaron Mooy,Left Defensive Midfield,95.6,44.1,120.0,43.7,Right Foot,Half Volley,From Keeper,False,True,False,False,False,0.039191317,Off T,2022,0,24.742069436488134,0.289886612089657,4.100000000000001
74,6,2,Tunisia,Youssef Msakni,Left Wing,110.1,38.0,120.0,35.2,Head,Normal,From Throw In,True,False,False,False,False,0.10262261,Off T,2022,0,10.100000000000007,0.6854949645414575,2.0
83,13,2,Tunisia,Montassar Omar Talbi,Left Center Back,89.6,34.9,118.2,40.0,Right Foot,Volley,From Throw In,False,True,False,False,False,0.012159805,Saved,2022,0,30.82482765564149,0.23322434278033063,5.100000000000001
85,32,2,Tunisia,Taha Yassine Khenissi,Center Forward,98.4,54.6,99.2,54.1,Right Foot,Normal,From Counter,False,False,False,False,False,0.012915949,Blocked,2022,0,26.071440313108898,0.2329808380480743,14.600000000000001
86,36,2,Tunisia,Naïm Sliti,Right Wing,109.8,47.4,111.5,45.5,Left Foot,Normal,Regular Play,False,False,False,False,False,0.1403044,Blocked,2022,0,12.601587201618694,0.4743828792381658,7.399999999999999
